,0,1,2,3,4,5,6,7,8,9
0,-0.08247297,0.70266616,-0.31275922,-0.43583906,-0.20791097,-0.20914367,-0.27109182,-0.36485606,-0.48289412,-0.01171494
1,-0.6515446,-1.0141041,0.0662469,0.3596787,-0.20791097,-0.20914367,-0.062831424,0.2546341,0.84582067,-0.27677172
2,0.11831343,0.8655854,-0.4272879,-0.15190855,-0.20791097,-0.20914367,-0.19816415,-0.36485606,-0.48289412,-0.27677172
3,-0.43091607,-0.49751896,-0.4272879,1.0276326,0.5961545,-0.20914367,0.038724266,1.523557,2.4477372,-0.27677172
4,0.21199763,0.3967268,-0.2375545,-0.99386084,-0.20791097,-0.20914367,-0.4298375,-0.057998985,-0.48289412,0.16233338
5,2.2214532,0.775946,-0.4272879,0.03080771,-0.20791097,0.32481268,-0.14224839,-0.029290702,-0.2171016,-0.27677172
6,-0.6712855,-0.7777912,1.3794092,-0.99089277,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
7,0.0800192,0.33354256,0.21582264,-0.8882995,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.1720044,-0.27677172
8,-0.4417002,-0.91965014,0.2791871,-0.53042996,6.6335278,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
9,1.6655492,0.82560575,-0.4272879,-0.5290512,-0.20791097,-0.20914367,-0.4298375,-0.36485606,-0.48289412,-0.27677172
10,1.6452464,1.1478198,-0.4272879,-0.71001256,-0.20791097,-0.20914367,-0.4298375,-0.36485606,0.44332924,-0.27677172
11,1.1522075,0.32038707,-0.4272879,0.10376939,-0.20791097,-0.20914367,-0.4298375,0.11064716,-0.48289412,-0.27677172
12,1.7766151,0.5761697,-0.131878,-0.920343,-0.20791097,-0.20914367,-0.020376295,0.51925606,-0.48289412,-0.27677172
13,1.4964569,0.565149,-0.13515611,-0.15309337,-0.20791097,-0.20914367,-0.4298375,0.51011556,-0.48289412,-0.27677172
14,1.7514819,0.8859948,-0.4272879,-0.5295878,-0.20791097,-0.20914367,-0.4298375,0.1384376,-0.48289412,-0.27677172
15,1.6671011,0.634584,-0.4272879,-0.723161,-0.20791097,-0.20914367,0.030520035,0.17229934,-0.48289412,-0.27677172
16,-0.87248254,-0.88523483,-0.10935651,-0.41374487,-0.20791097,-0.20914367,0.38139594,-0.36485606,2.3404605,-0.27677172
17,1.785091,1.1056777,-0.4272879,-0.7146794,-0.20791097,-0.20914367,0.037195455,0.18008837,-0.48289412,-0.27677172
18,-0.87201405,-0.8846637,4.369207,-0.5130316,0.5502059,4.6714587,-0.4298375,-0.36485606,-0.48289412,-0.27677172
19,-0.43931544,-1.1124213,-0.4272879,-0.5965532,-0.20791097,-0.20914367,-0.4298375,0.17293991,1.1089929,-0.27677172
