,0,1
0,-3.9734483,0.0761275
1,3.2852387,3.8102422
2,-3.9780397,0.03486542
3,-1.4469398,4.067767
4,-3.7057395,-1.5708308
5,4.456149,-1.8478466
6,1.4076222,2.050487
7,-3.7505295,0.70708483
8,0.46890754,-4.041372
9,4.495879,-0.5413523
10,-2.1082942,1.3888422
11,4.3125963,-0.50133425
12,4.5464783,-0.46235302
13,2.7503831,0.11013243
14,4.7142067,-0.8683387
15,4.6896563,-0.76425046
16,1.3277874,4.7136536
17,4.61788,-0.7657019
18,0.9876462,0.6260121
19,-0.10830169,4.170819
20,4.5344844,2.0436444
21,4.8058476,-1.1998868
22,-1.8343072,3.6159577
23,-2.1037965,3.7088494
24,1.9213009,0.9513398
25,2.0745988,-1.8345764
26,1.2914307,-3.0035996
27,-1.3026376,4.4316616
28,-1.9137672,3.8653965
29,4.299478,-0.46961015
30,4.8279614,-1.0464499
31,0.025505902,-2.9335163
32,0.07704244,-3.203897
33,-3.0357645,-2.3575058
34,1.5090086,-0.00784809
35,-0.35080454,1.9870387
36,0.2599503,4.216228
37,1.4614075,-0.43477586
38,-2.5681875,3.2226202
39,4.3639455,-1.8760458
40,-0.19788156,1.9750125
41,1.9960757,-1.8660932
42,0.8663948,0.47008705
43,3.9068632,-0.1556866
44,2.7773697,-2.0477293
45,-1.0397075,-0.18264173
46,4.3174686,-1.0468646
47,-2.5335176,2.7594068
48,4.2183313,-0.5106649
49,-0.002042721,1.4114431
50,3.5281165,-0.055952623
51,3.8487675,-0.17662866
52,-3.1335902,1.7637259
53,1.170554,0.94014305
54,4.2295756,-1.0058099
55,0.31785864,-3.425551
56,-1.8820957,1.1481122
57,-1.5249006,4.0544972
58,4.706523,-1.4957712
59,-2.487041,3.156062
60,3.5989559,-0.6236691
61,-1.9574327,3.9688628
62,-1.0831856,-0.1442825
63,-0.96362084,-0.29357246
64,-2.9019568,2.9402134
65,-1.8513612,4.1252027
66,4.471891,-0.63984215
67,3.205404,-1.3097807
68,1.8926278,1.8580688
69,0.13813667,0.33054245
70,-1.1341599,-0.088298775
71,-0.8646707,-4.1191273
72,-1.0884329,-0.27242303
73,3.1557415,0.14019777
74,-0.49885496,-0.9091861
75,-3.3588517,-1.5156765
76,-1.6142931,0.5808104
77,2.8609526,-2.0247138
78,-2.1628292,1.36479
79,3.4657104,2.1369507
80,-0.78127515,-0.59484786
81,4.6454287,-1.6929582
82,2.6210735,-2.0823562
83,-2.162267,-3.1640863
84,-2.4075809,2.743441
85,2.8433363,0.09644752
86,4.6637945,-0.8121476
87,3.1454341,-0.0068113534
88,0.48483703,-1.4387507
89,1.0865964,0.15346798
90,-2.7930741,4.2357183
91,-1.6993752,4.191761
92,4.5903316,-1.5894921
93,4.3676934,-0.5282894
94,1.5667295,-0.053879153
95,1.7153422,-0.064661205
