,variable,value,method
0,0.01,0.0007917751208879054,GPSA
1,0.01,0.0004632108611986041,GPSA
2,0.1,0.0041482881642878056,GPSA
3,0.1,0.004217594396322966,GPSA
4,0.5,0.03364630788564682,GPSA
5,0.5,0.038494888693094254,GPSA
0,0.01,0.006913374392960791,PASTE
1,0.01,0.012864065860207712,PASTE
2,0.1,0.0527248046220268,PASTE
3,0.1,0.3363608658916452,PASTE
4,0.5,0.5707303533364336,PASTE
5,0.5,0.8152821902038654,PASTE
