,0,1,2,3,4,5,6,7,8,9,10
0,0.9380755,1.6970513,2.0925033,0.5235633,1.8328077,1.1108179,1.6048603,1.7908739,-0.98802406,9.088662,0.3281679
1,1.2885582,1.6874765,1.406678,-0.10695957,1.1925434,1.2201129,0.8971808,1.4505882,1.5602529,2.957182,-0.7626659
2,1.2366041,0.9184073,1.0949574,-0.76218504,0.7834731,0.29021242,0.5265473,1.2641983,-0.98802406,4.922757,0.021531157
3,1.9052389,1.3371555,1.3550502,-1.3377607,1.4920355,1.2258097,1.2506729,1.4102256,-0.2935121,-0.24012458,-0.7626659
4,2.1790152,2.2299547,1.9414308,-0.2921794,2.1966822,2.4070601,1.592892,1.8319173,-0.98802406,-0.24012458,-0.7626659
5,1.0858778,1.4314835,1.7372545,-0.11862455,1.7052346,1.8564098,0.5932155,0.93388623,-0.38216496,4.811966,-1.01239775e-05
6,2.1111906,1.6452296,1.7713257,-0.5684116,1.8054172,1.6043055,1.4288939,2.010548,-0.98802406,-0.24012458,-0.7626659
7,2.0573585,1.9434098,2.0342455,-1.3377607,2.2588358,2.3781116,1.9070493,1.8915638,-0.98802406,-0.24012458,-0.7626659
8,1.3262874,1.5352612,1.3782157,-0.05978314,1.4769496,1.1219734,1.0602564,1.8639578,-0.3442899,-0.24012458,0.04766703
9,1.9787326,2.1679945,1.8981538,0.27231318,2.280063,2.6826553,1.5841426,1.9199528,-0.98802406,-0.24012458,-0.7626659
10,1.791017,2.0692332,1.8664773,-0.60441107,2.2353628,2.6703105,1.7140152,1.9398364,-0.98802406,-0.24012458,0.8437826
11,1.0502644,0.9902207,0.25486615,-1.3377607,0.47111362,0.6306961,0.9147861,1.3473108,-0.98802406,-0.24012458,-0.7626659
12,1.7966856,1.4424032,1.5095592,-0.5872055,1.5441744,1.0182886,1.2209476,1.0304942,-0.98802406,-0.24012458,-0.7626659
13,1.2881978,1.7642999,1.1774482,-0.2061792,1.5135682,1.3461959,1.4756095,1.5284815,-0.98802406,-0.24012458,0.18922764
14,1.390878,1.1189439,1.1492685,-0.35363257,1.196304,0.8881023,0.9471902,0.33833364,0.44748572,-0.24012458,-0.7626659
15,1.0328145,1.9229494,1.7815837,0.44031405,1.7534937,1.1262776,1.4248505,2.00407,-0.98802406,-0.24012458,-0.7626659
16,0.70506865,1.7074643,2.5337057,0.23931102,1.8038466,2.4240713,0.9704832,1.7588054,-0.98802406,-0.24012458,-0.7626659
17,2.011788,1.1126701,1.2417644,-0.4455675,1.3621514,0.39721817,1.4211884,0.58381474,-0.98802406,-0.24012458,-0.7626659
18,0.68850833,0.28215528,0.24912082,-0.10689348,0.3053979,0.43712345,0.4758307,0.0887729,0.16823955,-0.24012458,-0.25597635
19,1.6054803,1.8825656,1.5768254,-0.49133313,1.9083712,2.0500376,1.5929132,1.5019083,-0.07189703,-0.24012458,-0.7626659
20,0.66707325,0.330391,0.079207964,-0.40962315,0.21006718,0.773231,0.027909068,0.4009498,-0.6523801,-0.24012458,0.8862509
21,0.7129137,1.0815943,1.4333599,-0.25702333,1.2220459,1.5831736,0.8627848,0.8980536,1.4823803,-0.24012458,-0.10825277
22,1.6994649,1.7154459,1.7715176,-1.3377607,1.8250786,1.8923827,1.4702655,1.7465925,-0.98802406,-0.24012458,-0.7626659
23,0.4582799,0.582046,0.20877112,-1.3377607,0.12778552,0.7265727,0.32749054,0.6951105,-0.98802406,-0.24012458,-0.7626659
24,1.7365301,1.9115707,1.924384,0.26750115,2.10942,1.113715,1.4536276,1.4228438,1.0293354,-0.24012458,0.3303397
25,1.2591019,1.6211959,1.314598,-0.55876905,1.6554459,0.6611991,1.1920544,0.8290587,-0.98802406,-0.24012458,-0.7626659
26,1.7722555,2.5605521,2.36332,-0.39052853,2.1899912,2.094691,2.245343,2.656777,-0.37351805,-0.24012458,-0.7626659
27,0.6922167,0.5352662,0.98446906,1.388705,0.23779821,-0.45264804,0.954539,0.037895113,-0.1500042,-0.24012458,-0.7626659
28,1.3293236,1.7909733,1.7567813,0.31172866,1.6058125,1.4601941,1.4788017,1.1319743,-0.57165635,-0.24012458,0.15435266
29,1.0225708,0.1361399,-0.66124547,-0.04451272,0.34528896,-0.2146546,0.3479536,0.0031574843,0.09332406,-0.24012458,-0.7626659
30,1.2566746,1.4058633,1.1421094,0.32169336,0.8782493,-0.103346325,0.9683501,1.000955,1.0266635,-0.24012458,0.7417914
31,1.14742,0.9330267,0.96440715,-0.7246148,0.8081713,0.5697673,1.065318,0.37667271,-0.3243884,-0.24012458,-0.7626659
32,1.0131834,0.5006589,0.6834621,-0.7160813,0.4175922,0.679016,0.9758482,1.0694755,-0.07850599,-0.24012458,0.0843455
33,1.6405841,2.1050985,1.9769089,-1.3377607,1.8697213,1.9445645,1.5883795,1.6716583,1.3755913,-0.24012458,-0.7626659
34,1.4269123,1.6801327,1.7190342,-1.3377607,1.7352154,1.1253955,1.1459118,0.9496659,-0.98802406,-0.24012458,-0.7626659
35,0.995937,0.7739454,0.8449753,-0.041743256,0.8312747,0.6012975,0.5882768,0.57106423,-0.10012051,-0.24012458,1.2487804
