,0,1
0,2.9668279,-0.06799913
1,2.7759893,0.4898377
2,3.4789772,0.4197512
3,3.1058276,0.44892
4,4.098861,0.94952655
5,2.9029117,1.0444355
6,3.291503,0.9859946
7,3.6422668,0.96046925
8,5.6238856,1.560661
9,3.0460231,1.5766926
10,3.4296827,1.5211517
11,6.104986,1.6268388
12,3.835643,1.4959214
13,5.143244,1.5191257
14,4.280446,1.5088955
15,4.660935,1.5092301
16,2.6174657,2.0876775
17,6.7873845,2.1715539
18,6.2208185,2.1004426
19,3.9601822,2.013709
20,5.769674,2.0653303
21,3.5572267,2.0432796
22,3.1498218,2.0790148
23,5.3601127,2.0376751
24,4.8272696,2.0145075
25,4.4171243,2.011507
26,2.6899836,2.5854506
27,7.8749027,2.7583532
28,3.2209377,2.5892193
29,5.910135,2.557016
30,7.409799,2.725289
31,6.9274693,2.6667066
32,5.429153,2.5284612
33,4.519817,2.511684
34,4.9553323,2.5167866
35,3.64412,2.552145
36,4.0504475,2.5269225
37,6.4040294,2.6188827
38,2.7124279,3.0806055
39,7.9804053,3.2032084
40,2.3432984,3.1627252
41,3.29743,3.07518
42,7.048334,3.1233647
43,4.1645117,3.008233
44,6.044715,3.0350986
45,7.4861026,3.1852133
46,4.626572,3.0052989
47,3.6870284,3.0423987
48,6.517119,3.0858254
49,5.5222793,3.0271945
50,5.080567,3.0137432
51,8.632783,3.3624814
52,2.7725785,3.5467463
53,8.068123,3.6578948
54,2.32579,3.6340182
55,6.100496,3.5217655
56,3.3283274,3.561539
57,5.645565,3.5081532
58,7.5851426,3.6479974
59,4.226284,3.501799
60,3.797358,3.5310779
61,5.1531644,3.499704
62,4.6745915,3.501055
63,6.594865,3.5730996
64,7.1357856,3.6206875
65,8.686444,3.7999609
66,9.129347,3.8467803
67,2.8126392,4.0028324
68,8.1115,4.111389
69,7.1737537,4.07501
70,9.154414,4.245625
71,2.3531578,4.0869637
72,8.730471,4.2202005
73,3.3879607,4.0400143
74,7.6561875,4.1258783
75,4.3144007,4.0112395
76,6.6708307,4.0542207
77,3.8082776,4.0262027
78,5.2291455,4.0140047
79,6.1685786,4.0417695
80,1.9258223,4.154224
81,4.729759,4.022078
82,5.6999674,4.038794
83,2.8071315,4.4473453
84,8.13313,4.5506525
85,2.3772643,4.5061164
86,4.314903,4.458218
87,3.4127116,4.483742
88,1.9381709,4.538762
89,6.7374163,4.523659
90,3.8573127,4.4717703
91,7.2148867,4.5490646
92,7.6676173,4.575305
93,4.818971,4.474458
94,6.1897593,4.5105352
95,8.72429,4.6689157
96,9.167362,4.687726
97,9.659829,4.7266603
98,5.7511187,4.5034604
99,5.2639956,4.503469
100,2.8296297,4.881759
101,8.141947,5.008627
102,1.9604117,4.9309583
103,2.368639,4.921636
104,5.8046813,4.950807
105,7.6700845,5.0198984
106,7.2496834,5.002996
107,6.7390385,4.9910426
108,9.153097,5.0916796
109,3.446105,4.9310527
110,6.223905,4.9765553
111,8.71924,5.0903406
112,1.3749802,4.967892
113,3.8885722,4.928047
114,4.344187,4.9333053
115,9.653804,5.1297216
116,5.2616286,4.9503303
117,4.853002,4.947732
118,2.8479283,5.3013988
119,8.12453,5.4738955
120,2.4141202,5.338056
121,5.831237,5.448308
122,7.26067,5.488006
123,1.9131204,5.346999
124,3.4638417,5.389892
125,7.6627884,5.501143
126,1.398046,5.351572
127,3.9421396,5.4036274
128,4.8856173,5.4318433
129,4.362478,5.422861
130,6.7550373,5.4968014
131,6.2452526,5.4851713
132,9.1043415,5.547233
133,5.3148623,5.45787
134,8.709974,5.5575075
135,9.628023,5.5658264
136,8.123894,5.885931
137,2.882526,5.7297497
138,7.6358876,5.92153
139,5.867436,5.908707
140,7.2578673,5.931891
141,3.491173,5.8103857
142,6.236766,5.928442
143,3.947805,5.8398366
144,1.9826474,5.730457
145,4.4338756,5.8639216
146,1.4147745,5.7071695
147,5.3617806,5.911228
148,4.875624,5.890897
149,9.125964,5.961108
150,2.426376,5.762247
151,6.728301,5.9587436
152,8.671939,5.972661
153,9.589888,5.9625645
154,2.9347396,6.175684
155,8.116791,6.39876
156,5.82465,6.40043
157,5.4069643,6.3781548
158,3.5418997,6.2568336
159,7.2238927,6.42539
160,7.6200113,6.4255815
161,6.316479,6.4171557
162,4.43289,6.3242846
163,4.9382887,6.3565865
