,0,1,2,3,4,5,6,7,8,9
0,-0.29187617,-1.2199736,1.7428905,-0.8911102,-1.1392962,-0.64710635,1.8243433,0.066262215,-0.6361749,0.008938531
1,-0.71776396,1.4682032,-1.2338446,0.474813,0.52574563,-0.64710635,-1.1016389,2.3274112,-0.6361749,-0.34858787
2,1.622209,-0.8008626,-1.1307768,-0.8911102,-0.62042266,1.5043765,-1.3741452,-0.8819742,1.3183559,0.43813813
3,-0.98378134,-0.6677854,0.8860311,-0.8911102,0.18981677,-0.64710635,0.4336547,0.15307595,-0.6361749,0.84537995
4,-0.98378134,-1.2199736,0.91947734,-0.8911102,-0.40150347,-0.64710635,0.9850512,-0.3420518,-0.6361749,0.19279566
5,-0.98378134,0.12138787,1.3826054,-0.8911102,-1.1392962,-0.64710635,1.789267,-1.3374974,-0.6361749,-0.38627368
6,0.18890722,-1.2199736,1.0327775,-0.8911102,-1.1392962,0.44575483,0.7303963,3.635417,0.8020824,-0.74509186
7,-0.6112792,-0.40695417,0.26083246,-0.8911102,0.32520065,-0.64710635,0.048015766,0.13329338,-0.6361749,-0.28579023
8,-0.98378134,-0.64759225,0.27831662,-0.8911102,0.2256782,-0.13112614,-0.4195621,-0.043697853,-0.6361749,0.20869432
9,-0.98378134,-0.63430285,0.23437308,-0.42694217,0.62335634,-0.64710635,-0.09669941,-0.35632786,-0.6361749,0.6173101
10,0.6736306,-1.2199736,-0.10061785,-0.8911102,-1.1392962,2.8703578,-0.4812315,0.60553044,2.1521304,-3.2169452
11,1.9133985,-1.2199736,-1.1955813,-0.8911102,-1.1392962,1.6446689,-1.5613774,-0.37180814,0.7496191,0.27447265
12,0.20275922,-1.2199736,0.100199796,-0.3624042,-0.6437891,-0.043574,0.04031808,0.2516991,-0.6361749,-0.8867359
13,-0.6642833,-0.1473144,0.37271225,-0.8911102,-1.1392962,-0.15271375,0.029473918,-0.73801947,-0.6361749,0.049076986
14,-0.500236,1.725547,-1.6922674,1.3277591,1.2550815,-0.64710635,-0.8831385,-0.087022126,-0.6361749,0.4971248
15,-0.29273283,1.4275894,-0.99037236,1.2306542,1.8857219,-0.64710635,0.14403997,-0.18817922,-0.6361749,0.7214771
16,1.8126601,-1.2199736,-0.824981,-0.8911102,-0.25604486,2.113259,-0.9029288,-0.8565554,2.0617256,0.17995837
17,-0.71746147,0.95297074,-1.2991035,0.6620888,0.52677,-0.2350019,-0.9406617,0.0070312927,-0.2099226,-0.036604237
18,0.2081838,1.3336354,-0.7315442,0.80677706,1.1352491,0.10542494,-0.5500046,-0.47920883,-0.1802047,0.15447421
19,-0.23429297,0.69046634,0.026276466,2.4291043,1.5222509,0.08218232,0.08352134,-0.108952716,-0.6361749,1.5447011
20,-0.98378134,0.5727991,0.66012466,1.1327032,1.0802169,-0.64710635,0.86227345,2.4433637,0.10494798,0.6467907
21,-0.31608808,1.6579063,-0.8399989,1.1853756,1.5548745,-0.64710635,-0.7742204,-0.5928015,-0.6361749,0.5918896
22,-0.24056758,-0.8680174,0.3278877,-0.8911102,0.12541954,-0.64710635,-0.16078453,-0.2271937,-0.6361749,0.70327866
23,0.15759121,-1.2199736,1.6137248,-0.8911102,-1.1392962,-0.64710635,2.075149,1.5709238,-0.6361749,-0.20812523
24,0.57330304,-0.8413507,0.48139733,-0.8911102,-1.1392962,0.2947008,0.04845837,1.392764,-0.04563465,-0.06892041
25,0.8075058,-0.748584,1.3136766,-0.26841307,-1.1392962,1.6527644,1.0826633,-0.82515365,2.0603683,-0.7531329
26,-0.42184314,-1.2199736,1.2740407,-0.8911102,-1.1392962,1.0246018,1.2831981,0.19476621,1.0929245,-0.07771596
27,1.222781,-1.2199736,0.3009664,-0.8911102,-0.24103044,2.2732553,-0.17177215,-0.16633828,2.1704655,-2.28011
28,-0.18300381,-0.39823726,1.821512,-0.8911102,-1.1392962,-0.64710635,2.297078,-1.3374974,1.2249968,-0.39434937
29,-0.47389904,-0.18859349,-1.0873718,-0.48346442,-0.2875804,-0.64710635,-0.47555026,0.16538736,-0.6361749,-0.9225679
30,0.22461316,-0.20895456,0.16214661,-0.8911102,-1.1392962,-0.64710635,0.16436262,-0.60763663,-0.6361749,-0.19763513
31,1.9355962,-1.2199736,-0.68197924,-0.22441171,-1.1392962,1.856232,-1.5645062,-0.47104776,1.5552555,0.08399657
32,-0.39701197,1.2971019,0.48961866,0.9373746,1.0248438,-0.64710635,0.17829587,-0.33347645,-0.6361749,0.57547706
33,-0.98378134,-1.2199736,1.0095732,-0.8911102,-0.45492324,-0.64710635,0.68563807,0.009000464,-0.6361749,0.50490385
34,0.1569588,0.37207788,0.99953747,0.16921298,-0.14555359,-0.64710635,0.6146862,-0.78445005,0.15746507,0.38402277
35,-0.20587915,1.2017944,0.7241619,-0.8911102,0.30341348,0.11516684,0.7054931,-0.24499953,-0.6361749,0.2934136
36,2.1965668,-0.9323006,-1.4463786,-0.51109946,-0.3337305,0.8382789,-1.3308944,-0.489347,0.58094716,-0.41117316
37,1.7590592,-1.2199736,-0.64996237,-0.43642262,-0.42703584,1.0217485,-0.9724015,-0.13463275,1.4593396,0.49988604
38,-0.98378134,1.0291737,-0.9548571,0.91071284,1.2192459,-0.64710635,-0.5175356,2.741401,-0.6361749,0.770116
39,-0.98378134,0.28561193,0.5631301,-0.8911102,-0.22535217,-0.64710635,-0.12479911,1.3444456,-0.6361749,0.05889323
40,-0.6209091,1.5928444,0.2331211,0.86954075,1.0516047,-0.64710635,-0.08689614,-0.668312,-0.6361749,0.45030224
41,-0.98378134,0.89929956,0.34554586,1.4774699,0.31401074,-0.14273892,0.2722664,0.16853875,-0.6361749,0.26504785
42,-0.62832284,1.0365827,-0.89271706,0.7437813,1.1698725,-0.64710635,-0.020264044,-0.20022814,-0.6361749,0.38208967
43,-0.15893224,-1.2199736,1.9662422,-0.8911102,-1.1392962,-0.64710635,2.0600255,-0.4175215,-0.6361749,-0.3085846
44,-0.64324987,-1.2199736,0.43866765,-0.8911102,-1.1392962,-0.64710635,0.28972155,0.058412395,-0.6361749,0.20836943
45,-0.12986764,1.6178352,-1.7655896,1.0964965,1.2448654,-0.13869882,-0.7891457,-0.9710512,-0.110313326,0.5003532
46,-0.98378134,1.0880171,-0.97344667,2.0423856,1.4416022,-0.64710635,-0.1277142,-0.80840033,0.12309568,-0.010049831
47,-0.98378134,-0.6055199,0.8720896,-0.8911102,-1.1392962,-0.64710635,1.0357531,0.48955476,-0.6361749,0.25536963
48,0.6983188,-1.2199736,0.50306165,-0.34300584,-0.6256088,2.7989776,0.32907993,-0.6033677,2.8547409,-2.2722132
49,-0.652767,-0.4781312,-0.14733505,0.2726657,0.7307712,-0.64710635,-0.61576796,-0.25348637,-0.6361749,0.6042619
50,-0.39809844,1.4555752,-0.51827955,0.8410441,0.8568286,-0.64710635,-0.26967302,-0.68426985,-0.6361749,0.87889165
51,-0.57157755,-1.2199736,0.36171764,-0.33234495,-1.1392962,-0.009260553,0.14131534,-0.3825353,-0.6361749,0.16623347
52,-0.98378134,-1.2199736,0.84636426,-0.8911102,-1.1392962,0.44111216,0.63643795,1.6375915,-0.6361749,-0.19141893
53,-0.22657947,1.0363251,0.3825494,0.13531925,0.07557598,0.09110328,-0.1178682,-0.49297023,0.12737808,0.7992001
54,0.5693539,-1.2199736,1.7118776,0.17094712,-1.1392962,0.5652611,2.2545469,0.19903621,0.6178142,-0.022807837
55,0.36744493,0.878185,-1.4875592,1.3660272,1.2497417,-0.64710635,-1.3753195,-1.3374974,-0.6361749,0.98928267
56,1.8961442,-0.5618236,-0.823187,-0.35941684,-1.1392962,0.8523492,-1.0812039,0.45437023,0.91475827,0.43468955
57,-0.46931905,-0.6920462,1.2748789,-0.8911102,-1.1392962,-0.64710635,1.4938971,-0.76370406,-0.6361749,-0.23902433
58,0.87019956,-1.2199736,-0.7755503,-0.18390974,-1.1392962,2.3020232,-0.8476314,-0.4271395,2.4914558,-2.64891
59,-0.98378134,0.92943454,0.24684688,0.6813004,0.6349493,-0.64710635,-0.21455906,1.6329247,-0.6361749,-0.27030212
60,-0.23919144,-1.2199736,0.5572677,-0.8911102,-1.1392962,-0.64710635,0.64845,-1.3374974,0.55556196,0.61629647
61,-0.23818369,1.4341435,-1.0375321,0.76612777,0.25414637,-0.64710635,-0.7411507,-0.5059127,-0.6361749,0.47937796
62,0.5116082,0.3145548,1.0250881,-0.8911102,0.24587229,0.23331954,0.71151316,-1.3374974,-0.6361749,0.5027535
63,1.936768,-1.2199736,-0.53355783,-0.8911102,-0.35376126,1.6113861,-1.2371485,-0.044610187,1.4852921,0.63379484
64,-0.65546805,1.5585752,-0.88592786,1.3375901,1.6408594,-0.64710635,-0.75117433,-0.25948334,-0.6361749,0.89611113
65,-0.98378134,0.6692907,0.16075718,0.06322871,-0.5832923,-0.64710635,0.40413192,-0.33808336,-0.6361749,0.17506653
66,-0.3424583,-1.2199736,1.6045685,-0.8911102,-1.1392962,-0.64710635,1.8711258,-0.009501829,-0.6361749,0.09830969
67,-0.29852572,0.54705226,0.017984426,0.037792083,0.9142942,-0.64710635,0.0044401046,2.1564713,-0.6361749,0.07006639
68,-0.98378134,0.98997915,-1.0536805,1.7908771,1.5386615,-0.64710635,-0.46567678,2.2186778,-0.6361749,0.8516039
69,-0.5860526,0.84009993,0.32290518,0.23829065,-0.6340069,-0.64710635,0.33006343,-0.2460765,-0.6361749,0.69503593
70,1.2836093,-0.7745653,-1.0678856,0.05657206,-0.58786565,2.4804957,-1.30098,0.34821832,2.1521091,-3.3495615
71,-0.4308597,1.429268,-0.9663947,2.2381632,1.7934817,-0.64710635,0.15986757,-0.72080934,-0.6361749,1.4198937
72,-0.33985674,-0.5591955,1.4997939,-0.8911102,-1.1392962,-0.64710635,1.8748865,2.1036415,0.39444432,-0.2343604
73,-0.98378134,0.3117623,1.7096314,-0.8911102,-0.027350707,-0.64710635,2.0728476,-0.36131188,-0.6361749,-0.3123503
74,-0.6042384,1.2558402,0.5647741,-0.3766185,0.55426425,-0.64710635,0.18723957,-0.44101325,-0.02870588,0.29581952
75,-0.98378134,1.3455119,-0.84792906,1.008987,1.2638949,-0.64710635,-0.62897897,-0.39573884,-0.6361749,0.8209781
76,0.9328515,-1.2199736,1.6286669,-0.8911102,-1.1392962,0.39783573,2.065485,0.2310543,1.6147455,-0.22280076
77,-0.6946416,1.0518624,-1.561922,1.0320841,0.53630555,-0.64710635,-0.886502,0.80883926,-0.6361749,-0.09274895
78,-0.26350498,-0.48084542,0.7272065,0.08526464,-0.2242306,-0.64710635,0.1440589,1.086178,-0.6361749,-0.01077607
79,-0.57750505,1.6568685,-1.4920135,1.0845234,1.2209514,-0.64710635,-0.96201706,-0.3930259,-0.6361749,0.48239404
80,-0.98378134,1.3668365,-1.0502728,1.2652743,1.2622149,0.19244094,-1.0637597,-0.16350895,-0.11925938,0.5336016
81,-0.4067689,1.0728627,-1.0135393,1.4983709,1.3011205,-0.64710635,0.0548783,-0.6939402,-0.6361749,0.37680215
82,-0.98378134,1.2332577,-0.26955944,1.0520058,0.88705075,-0.64710635,-0.16464223,-0.66729206,-0.6361749,0.93842196
83,-0.98378134,1.6760503,-0.57228905,1.3363684,1.4504446,-0.64710635,0.03932847,-0.90722585,-0.6361749,0.42085916
84,1.1875291,-0.58047414,0.7664805,-0.8911102,-1.1392962,1.1570075,0.89281267,0.29843548,0.87834305,-0.18975835
85,-0.98378134,1.1160036,-0.93088526,2.1698658,1.7974602,-0.64710635,-0.1891327,-0.18136907,-0.053085178,1.4082371
86,0.7528004,-0.5964452,-0.18532309,-0.8911102,-0.367347,1.5866531,-0.37617508,0.50495654,2.563127,-3.180385
87,-0.460765,-0.6832683,1.0219326,-0.8911102,0.16201456,-0.64710635,0.71048146,-0.7541635,-0.6361749,0.23581783
88,0.6883925,-1.2199736,-0.10947789,-0.8911102,-1.1392962,2.8421888,-0.7686497,0.44495952,2.871289,-3.1555343
