,0,1,2,3,4,5,6,7,8,9
0,0.40881333,-0.40249956,-1.1264856,-0.89283025,2.7152328,0.33547089,0.22911072,-1.0835799,0.67329127,2.7316482
1,-0.983854,-1.2234993,1.9131966,-0.89283025,-0.6468324,-1.1313072,-0.5522635,2.3351958,-0.69300324,-0.63461864
2,-0.19188169,-0.03552793,1.9650877,-0.89283025,-0.6468324,-0.12702535,-0.45075908,2.4408343,-1.4781129,-0.63461864
3,-0.983854,-0.25805953,0.3132177,-0.89283025,-0.6468324,0.5428287,0.68787813,-0.25072315,-0.65135765,-0.63461864
4,2.1163132,-0.6791327,-0.90656763,-0.89283025,0.17529695,-1.1313072,-0.4146498,-1.2032923,1.8069432,1.0262351
5,-0.3092124,1.5294889,-0.46843347,1.8467944,-0.6468324,1.6631273,-0.58355457,0.05836218,-0.34917092,-0.63461864
6,1.0052223,-1.2234993,1.4610286,-0.023848306,-0.6468324,-1.1313072,0.6709268,1.516264,0.31184006,-0.63461864
7,1.2731476,-1.2234993,1.7327186,-0.89283025,1.2865155,-1.1313072,0.90440774,2.1606557,0.48815763,0.4603533
8,0.9511228,-1.2234993,2.002158,-0.89283025,0.018072432,-1.1313072,-0.04557985,2.0364416,0.02478398,0.053292647
9,0.08480765,-0.12133167,0.8585509,-0.89283025,0.21644935,-0.42849058,-0.3758659,1.026528,0.65479296,1.0875248
10,1.079885,-1.2234993,1.1279904,-0.89283025,0.3657225,-1.1313072,1.4101154,1.2839137,1.1297653,-0.63461864
11,-0.983854,-0.31102407,1.8293308,0.31071457,-0.6468324,-1.1313072,-1.3471175,1.6024972,-0.48904,-0.63461864
12,-0.27092898,-0.4882218,0.77324814,-0.89283025,-0.6468324,-0.22726342,-0.5402252,0.6711565,0.43271497,-0.63461864
13,-0.28456238,-0.5022826,0.30739957,0.05844664,-0.6468324,-0.2445516,-0.33929542,-0.2094691,0.28312024,-0.63461864
14,-0.09080153,-1.2234993,1.924121,-0.89283025,-0.6468324,-1.1313072,0.090891086,2.186411,-0.05773331,-0.63461864
15,-0.18247963,1.3865869,-0.6039659,0.863727,-0.6468324,1.1571916,-0.31609803,-0.5705977,-0.7278181,-0.63461864
16,-0.1485866,0.8162672,1.0393475,0.24342042,0.1889249,-0.07212383,-0.40175745,0.66855365,0.23943435,-0.63461864
17,-0.567819,1.742855,-1.3985581,1.01656,-0.6468324,1.5669777,-0.5841176,-0.69441354,-0.5147276,-0.63461864
18,-0.983854,-1.2234993,1.0563775,0.09180333,-0.6468324,-0.21345736,0.71642953,1.0132761,-0.6689412,-0.63461864
19,-0.983854,0.7667538,-0.8789442,0.42346773,-0.6468324,1.0253725,1.3035536,-0.9540996,-0.93587464,-0.63461864
