,0,1
0,1.9931271,5.3988185
1,3.3333333,8.545052
2,2.1237113,4.7415066
3,0.85910654,9.423929
4,8.831615,2.9911373
5,2.233677,9.387001
6,4.7766323,1.0782865
7,1.1340206,6.1742983
8,5.5670104,5.0664697
9,8.604811,4.483013
10,2.3092782,7.208272
11,6.24055,5.590842
12,0.419244,1.646972
13,0.6323024,1.7429837
14,8.735395,5.199409
15,8.646049,4.4165435
16,9.175258,2.8360415
17,6.865979,7.8286557
18,3.8900344,7.592319
19,0.7628866,4.645495
20,1.395189,8.293943
21,1.0790378,1.6395864
22,9.450171,2.0974889
23,0.4604811,2.7400296
24,3.5670104,4.9113736
25,8.082474,4.7562776
26,8.652921,7.9763665
27,0.3298969,4.335303
28,4.0206184,6.011817
29,1.0996563,4.970458
30,4.7766323,1.6395864
31,3.9725087,7.3264403
32,5.780069,8.412112
33,3.1134021,5.8050222
34,6.570447,2.237814
35,2.6254296,5.9453473
36,3.6975944,1.1669128
37,0.9896907,4.0472674
38,9.649485,7.1713443
39,1.7525773,4.660266
40,4.14433,5.9527326
41,4.2061853,3.9512556
42,0.6735395,3.0502217
43,1.7113402,1.0044314
44,8.103093,4.3426886
45,2.927835,3.1757755
46,4.783505,7.5997047
47,7.8487973,3.478582
48,1.0309278,2.6144757
49,2.2955327,9.431314
50,3.1821306,8.308715
51,4.4467354,4.305761
52,1.3608247,5.679468
53,8.852234,6.1447563
54,6.549828,7.3190546
55,8.350515,3.8404727
56,0.24054983,0.9748892
57,0.43986255,2.9394386
58,2.0893471,8.072378
59,1.4776633,4.468242
60,8.962199,3.0354505
61,6.4467354,6.3441653
62,0.96907216,4.2023635
63,0.96907216,1.7060561
64,7.3264604,1.3958641
65,6.0068727,5.177253
66,3.2027493,0.83456427
67,0.96907216,9.638109
68,4.0274916,0.5760709
69,1.3402061,3.774003
70,0.6254296,0.2141802
71,4.611684,3.8700147
72,0.83161515,4.1875925
73,6.934708,6.5952735
74,0.14432989,5.760709
75,4.7766323,6.3884788
76,5.443299,6.351551
77,3.3608248,1.1299852
78,7.1752577,3.9217134
79,2.9621992,0.16248153
80,6.9072165,5.7976365
81,4.219931,3.2348597
82,4.2611685,1.4254062
83,4.0549827,8.855244
84,7.072165,1.211226
85,2.1649485,0.70901036
86,6.419244,5.4062037
87,7.305842,7.754801
88,3.2302406,5.760709
89,0.6735395,0.8493353
90,9.395189,4.8818316
91,5.353952,4.121123
92,3.2302406,3.0797637
93,4.061856,2.7400296
94,1.8556701,3.6410635
95,5.580756,3.7813885
96,4.185567,4.0768094
97,3.6494846,3.8478582
98,8.728522,2.5110784
99,0.0068728523,6.6174297
100,0.79725087,4.3870015
101,3.9175258,5.391433
102,6.3367696,6.1373706
103,2.1993127,5.701625
104,5.2508593,8.353028
105,7.340206,6.536189
106,6.865979,3.028065
107,5.6426115,3.522895
108,0.39862543,8.929099
109,5.7113404,4.29099
110,6.9003434,7.1196456
111,5.573883,8.079763
112,3.5463917,9.246676
113,6.8728523,8.227474
114,1.7800688,0.64254063
115,0.68041235,8.574594
116,4.082474,4.298375
117,3.2371135,1.5731167
118,8.371134,6.373708
119,7.9243984,7.3855243
120,2.8316152,2.843427
121,4.611684,0.92319053
122,1.9243987,6.6395864
123,8.577319,1.7946824
124,0.25429553,2.067947
125,2.701031,3.7518463
126,6.082474,8.493353
127,2.7972507,2.5553916
128,9.127148,4.65288
129,0.32302406,7.8138847
130,4.3024054,3.7075331
131,9.099656,6.506647
132,3.2302406,2.4593797
133,9.66323,6.1521416
134,3.1821306,7.223043
135,0.6597938,7.6440177
136,4.4948454,1.9497784
137,7.635739,5.2880354
138,1.1271478,8.59675
139,9.395189,3.7592318
140,4.508591,7.39291
141,2.7353952,8.353028
142,7.168385,3.2422452
143,9.66323,3.279173
144,5.6494846,1.7429837
145,2.8865979,4.8966026
146,9.972508,6.9645495
147,8.474227,1.5435746
148,9.457045,4.335303
149,6.8453608,2.422452
