,0,1
0,7.9669423,6.6666665
1,1.2195985,8.029843
2,7.3175917,1.212696
3,0.40731996,5.6057158
4,0.7319953,6.212696
5,7.560803,8.333333
6,9.023613,5.909206
7,9.755608,7.2723823
8,1.9515939,5.455235
9,1.2195985,4.6977744
10,6.097993,4.3942842
11,8.861865,2.5758724
12,5.121606,5.909206
13,1.2195985,5.909206
14,3.5773318,0.60698026
15,0.89492327,3.4850783
16,9.59268,3.0311077
17,4.064935,8.485079
18,4.7154665,2.7276175
19,1.7886659,2.7276175
20,1.8701298,6.818412
21,3.9031878,0.60698026
22,0.89492327,4.6977744
23,7.3175917,5.7574606
24,7.4793386,5.455235
25,9.024794,3.7885685
26,5.2845335,6.212696
27,8.292798,4.5460296
28,6.097993,7.1206374
29,4.227863,5.7574606
30,7.8866587,7.1206374
31,8.698937,2.2736468
32,1.6269186,1.5161861
33,1.0578512,6.5149217
34,3.8217237,4.090794
35,4.390791,4.2425394
36,7.3175917,3.0311077
37,9.023613,4.3942842
38,2.1959858,7.4241276
39,2.3577332,6.212696
40,3.0897284,3.3333333
41,2.6835892,8.333333
42,1.7072018,3.4850783
43,7.2361274,6.818412
44,1.3825265,5.909206
45,5.121606,1.364441
46,2.1959858,3.4850783
47,8.861865,6.5149217
48,7.723731,3.1815882
49,1.6269186,4.5460296
50,2.1145217,1.212696
51,8.861865,7.7276177
52,7.4793386,5.151745
53,5.365998,2.7276175
54,7.1546636,6.0609508
55,4.878394,0.90920585
56,9.268004,4.5460296
57,5.2030697,7.2723823
58,7.1546636,1.5161861
59,0.32585597,7.8793626
60,5.6103897,7.1206374
61,3.9834712,1.364441
62,5.853601,2.7276175
63,8.12987,2.121902
64,1.4639906,0.30349013
65,4.9598584,2.5758724
66,7.1546636,6.6666665
67,2.8453364,6.212696
68,3.0897284,6.3631763
69,2.9268005,2.7276175
70,5.690673,4.5460296
71,0.48878396,2.4241276
72,8.861865,6.212696
73,4.634002,7.4241276
74,3.2526565,4.848255
75,1.8701298,0.7574608
76,7.2361274,4.3942842
77,3.0082645,7.1206374
78,10.0,6.818412
79,5.041322,1.5161861
80,5.041322,2.121902
81,1.8701298,3.4850783
82,1.3010626,1.212696
83,0.24439198,3.7885685
84,5.2030697,4.5460296
85,1.8701298,3.1815882
86,5.935065,4.3942842
87,2.033058,5.0
88,6.1794567,4.5460296
89,8.53601,8.029843
90,6.9917355,3.0311077
91,5.2845335,7.1206374
92,8.374262,6.5149217
93,2.520661,7.7276177
94,5.2030697,6.6666665
95,5.6103897,4.3942842
96,6.2597404,7.7276177
97,3.5773318,3.3333333
98,8.53601,5.0
99,6.748524,3.1815882
100,9.268004,5.455235
101,2.765053,2.7276175
102,3.4144037,3.6368234
103,7.1546636,3.0311077
104,1.7886659,8.181588
