,0,1,2
0,-1.3569806,-1.2621483,-2.2062032
1,0.23399144,0.017683623,0.12626241
2,0.4991534,0.29193333,0.5503471
3,0.006709783,-0.6222323,-0.43918383
4,-0.069050774,-0.85077375,-0.29782227
5,-1.1675792,-1.2621483,-0.65122616
6,-3.705558,-3.319021,-3.407777
7,0.91583645,0.3833499,0.6917086
8,0.8400759,0.7490165,1.1864741
9,-1.2433397,-0.80506545,-1.5700763
10,0.68855476,0.15480848,0.33830476
11,-0.14481133,0.10910019,-0.58054537
12,0.574914,1.3432242,0.40898553
13,0.27187172,0.9775579,-0.22714148
14,0.68855476,0.24622504,0.97443175
15,-0.9781777,-1.2164401,-1.8527994
16,0.68855476,1.0689745,1.0451125
17,-0.29633245,-0.4393992,-0.43918383
18,0.1582309,-0.25656608,0.6917086
19,-0.63725495,-0.6222323,0.05558163
20,0.76431537,0.79472476,1.1864741
21,-0.33421272,-0.119441226,-0.7925877
22,-3.7813187,-3.5475624,-3.5491385
23,0.006709783,-0.30227435,0.33830476
24,0.574914,1.5717657,1.1864741
25,-0.372093,-0.94219035,0.26762396
26,-0.7130158,-0.5308158,-0.8632685
27,-0.29633245,0.06339191,-1.2166724
28,-0.1826916,0.06339191,0.26762396
29,0.95371675,1.3432242,1.1157933
30,-0.63725495,-0.34798265,-1.5700763
31,0.95371675,1.4803491,1.1157933
32,0.95371675,1.2975159,0.8330702
33,0.04459006,1.2518076,0.5503471
34,0.30975202,-1.4449815,0.26762396
35,0.72643507,1.1146828,0.97443175
36,0.68855476,0.56618303,0.8330702
37,0.120350614,0.56618303,0.4796663
38,0.19611117,-0.25656608,-0.22714148
39,0.95371675,1.6631821,1.2571548
40,0.6127942,-0.25656608,0.40898553
41,-0.372093,-0.02802466,-0.72190696
42,0.4612731,-0.2108578,0.26762396
43,0.91583645,0.93184966,0.6917086
44,0.1582309,-0.30227435,1.1157933
45,0.4612731,0.84043306,0.1969432
46,0.8021956,0.52047473,0.26762396
47,0.91583645,1.2975159,0.5503471
48,0.3476323,0.3833499,0.1969432
49,0.38551256,0.017683623,0.33830476
50,0.4991534,0.3833499,0.4796663
51,0.04459006,0.7033082,0.26762396
52,-1.8494241,-1.856356,-1.6407571
53,0.76431537,1.1146828,0.6917086
54,0.5370337,0.56618303,0.4796663
55,-0.14481133,0.3833499,-0.72190696
56,0.04459006,0.15480848,-0.58054537
57,0.42339283,-1.3992732,-1.1459916
58,0.4991534,1.2518076,0.7623894
59,-0.75089604,-0.02802466,-0.9339493
60,0.006709783,0.52047473,-0.015099149
61,-0.5614944,-1.4449815,-0.1564607
62,1.0294772,0.79472476,0.8330702
63,-0.069050774,0.42905816,0.6210279
64,-1.3948607,-0.94219035,-0.43918383
65,-0.1826916,-0.89648205,0.33830476
66,0.8021956,0.24622504,0.5503471
67,-0.40997326,-0.48510748,0.33830476
68,-0.14481133,-0.02802466,-0.015099149
69,1.0673575,0.79472476,0.6917086
70,0.6506745,0.47476646,0.6917086
71,-0.48573384,0.15480848,0.33830476
72,-0.78877634,0.24622504,-0.8632685
73,0.574914,0.79472476,0.4796663
74,0.76431537,0.06339191,0.6210279
75,0.95371675,0.79472476,0.90375096
76,-0.1826916,-0.02802466,-0.22714148
77,-0.44785357,-0.02802466,-0.08577993
78,-0.5236141,-0.6222323,-0.72190696
79,0.6127942,0.79472476,0.7623894
80,0.72643507,0.06339191,0.12626241
81,0.8400759,0.93184966,1.2571548
82,0.76431537,-0.07373294,0.33830476
83,0.6127942,-0.25656608,0.6210279
84,-0.59937465,-0.3936909,-0.22714148
85,-0.75089604,0.3833499,-1.2873532
86,0.4991534,0.7490165,1.2571548
87,0.91583645,0.42905816,0.7623894
88,0.6506745,1.2518076,0.6210279
