,0,1,2
0,0.6313726,0.49803922,0.67058825
1,0.6509804,0.5176471,0.67058825
2,0.54901963,0.49803922,0.6313726
3,0.654902,0.38039216,0.65882355
4,0.4117647,0.37254903,0.5372549
5,0.67058825,0.5019608,0.6862745
6,0.35686275,0.34117648,0.6431373
7,0.60784316,0.5686275,0.68235296
8,0.57254905,0.4862745,0.64705884
9,0.57254905,0.49411765,0.63529414
10,0.56078434,0.4627451,0.60784316
11,0.69411767,0.5058824,0.6784314
12,0.6745098,0.40784314,0.67058825
13,0.5294118,0.41568628,0.5882353
14,0.64705884,0.4117647,0.65882355
15,0.67058825,0.5803922,0.69411767
16,0.5137255,0.38039216,0.6156863
17,0.59607846,0.4862745,0.627451
18,0.60784316,0.4627451,0.6745098
19,0.6392157,0.34117648,0.6156863
20,0.63529414,0.50980395,0.7019608
21,0.5529412,0.41960785,0.6313726
22,0.627451,0.50980395,0.6745098
23,0.6,0.48235294,0.6862745
24,0.6039216,0.4745098,0.64705884
25,0.6509804,0.46666667,0.69411767
26,0.5529412,0.45490196,0.61960787
27,0.30588236,0.26666668,0.5647059
28,0.5921569,0.4509804,0.64705884
29,0.50980395,0.4117647,0.62352943
30,0.4862745,0.4117647,0.61960787
31,0.6156863,0.47058824,0.6313726
32,0.69411767,0.5137255,0.69411767
33,0.5764706,0.48235294,0.65882355
34,0.6117647,0.48235294,0.67058825
35,0.6784314,0.5803922,0.68235296
36,0.6666667,0.5137255,0.6901961
37,0.5568628,0.39215687,0.60784316
38,0.60784316,0.5058824,0.6313726
39,0.58431375,0.4745098,0.5921569
40,0.61960787,0.5137255,0.6666667
41,0.5803922,0.4509804,0.65882355
42,0.5294118,0.42352942,0.6156863
43,0.5647059,0.41960785,0.64705884
44,0.5686275,0.4392157,0.60784316
45,0.64705884,0.49803922,0.6745098
46,0.6392157,0.52156866,0.6509804
47,0.49803922,0.4392157,0.5686275
48,0.6509804,0.53333336,0.6392157
49,0.6,0.47058824,0.6784314
50,0.56078434,0.49411765,0.58431375
51,0.5529412,0.4862745,0.6313726
52,0.47843137,0.4,0.5764706
53,0.60784316,0.45882353,0.65882355
54,0.58431375,0.47058824,0.62352943
55,0.59607846,0.5411765,0.6509804
56,0.5568628,0.4,0.62352943
57,0.5882353,0.44705883,0.627451
58,0.6392157,0.58431375,0.67058825
59,0.63529414,0.5176471,0.68235296
60,0.63529414,0.3254902,0.6156863
61,0.61960787,0.46666667,0.6784314
62,0.5686275,0.50980395,0.5921569
63,0.6509804,0.5019608,0.7019608
64,0.6431373,0.47058824,0.69803923
65,0.63529414,0.44313726,0.67058825
66,0.627451,0.38039216,0.6
67,0.627451,0.4862745,0.63529414
68,0.4392157,0.33333334,0.6117647
69,0.6313726,0.5137255,0.6627451
70,0.64705884,0.46666667,0.67058825
71,0.48235294,0.4117647,0.6117647
72,0.7294118,0.6117647,0.7411765
73,0.49411765,0.38039216,0.5411765
74,0.6901961,0.4509804,0.64705884
75,0.6117647,0.4117647,0.65882355
76,0.5686275,0.50980395,0.64705884
77,0.6313726,0.42352942,0.6666667
78,0.35686275,0.27058825,0.5529412
79,0.63529414,0.5058824,0.64705884
80,0.57254905,0.4392157,0.6431373
81,0.41568628,0.38431373,0.6
82,0.45490196,0.38039216,0.54901963
83,0.39215687,0.32941177,0.5803922
84,0.6,0.42352942,0.5882353
85,0.49019608,0.36862746,0.5411765
86,0.63529414,0.44705883,0.6627451
87,0.41960785,0.28235295,0.5686275
88,0.59607846,0.49411765,0.5882353
89,0.6431373,0.37254903,0.64705884
90,0.5647059,0.43137255,0.5764706
91,0.6156863,0.47058824,0.6431373
92,0.47843137,0.30588236,0.6117647
93,0.6313726,0.5568628,0.63529414
94,0.65882355,0.5294118,0.6784314
95,0.5254902,0.3882353,0.5764706
96,0.60784316,0.49411765,0.6431373
97,0.64705884,0.4627451,0.6627451
98,0.6745098,0.54901963,0.6745098
99,0.39607844,0.34117648,0.6
100,0.6313726,0.49803922,0.6745098
101,0.59607846,0.42352942,0.65882355
102,0.5803922,0.41568628,0.6509804
103,0.2509804,0.21568628,0.48235294
104,0.54509807,0.4627451,0.58431375
105,0.5803922,0.44313726,0.627451
106,0.5921569,0.43529412,0.60784316
107,0.28627452,0.22745098,0.49411765
108,0.33333334,0.29411766,0.5137255
109,0.59607846,0.45882353,0.6392157
110,0.26666668,0.24705882,0.5254902
111,0.5921569,0.4627451,0.6509804
112,0.5568628,0.42745098,0.54509807
113,0.52156866,0.40784314,0.64705884
114,0.57254905,0.45882353,0.63529414
115,0.48235294,0.41960785,0.62352943
116,0.63529414,0.5294118,0.65882355
117,0.65882355,0.5019608,0.69411767
118,0.29411766,0.23921569,0.4862745
119,0.5882353,0.44705883,0.6509804
120,0.5882353,0.49019608,0.654902
121,0.44313726,0.36862746,0.4862745
122,0.6156863,0.47058824,0.69411767
123,0.68235296,0.57254905,0.67058825
124,0.5647059,0.48235294,0.6
125,0.5647059,0.4392157,0.6745098
126,0.6117647,0.54509807,0.6392157
127,0.53333336,0.38039216,0.5882353
128,0.6392157,0.5529412,0.6509804
129,0.6784314,0.5411765,0.69411767
130,0.6392157,0.49411765,0.63529414
131,0.62352943,0.5529412,0.6313726
132,0.36078432,0.29803923,0.52156866
133,0.6117647,0.5137255,0.6392157
134,0.5176471,0.45882353,0.59607846
135,0.54901963,0.38039216,0.59607846
136,0.4509804,0.3882353,0.56078434
137,0.6431373,0.45490196,0.654902
138,0.6509804,0.5294118,0.7019608
139,0.7058824,0.54509807,0.7058824
140,0.5686275,0.5058824,0.6117647
141,0.6784314,0.52156866,0.67058825
142,0.5058824,0.42745098,0.5529412
143,0.6666667,0.56078434,0.68235296
144,0.64705884,0.42745098,0.67058825
145,0.49019608,0.38039216,0.5411765
146,0.627451,0.52156866,0.6901961
147,0.62352943,0.44705883,0.67058825
148,0.6627451,0.49803922,0.6901961
149,0.5058824,0.38039216,0.63529414
150,0.6666667,0.4862745,0.68235296
151,0.39607844,0.3137255,0.5647059
152,0.6509804,0.5372549,0.6784314
153,0.54509807,0.4392157,0.65882355
154,0.6,0.3764706,0.5647059
155,0.49019608,0.40392157,0.61960787
156,0.6627451,0.50980395,0.69411767
157,0.29803923,0.23137255,0.46666667
158,0.5137255,0.41568628,0.5921569
159,0.67058825,0.5764706,0.6901961
160,0.58431375,0.46666667,0.65882355
161,0.6392157,0.4627451,0.67058825
162,0.5568628,0.49803922,0.6
163,0.3137255,0.29803923,0.46666667
164,0.49803922,0.3647059,0.57254905
165,0.3019608,0.25490198,0.5176471
166,0.6392157,0.50980395,0.68235296
167,0.5882353,0.44313726,0.654902
168,0.54509807,0.41960785,0.59607846
169,0.57254905,0.47843137,0.60784316
170,0.3647059,0.30980393,0.5372549
171,0.49411765,0.34117648,0.5372549
172,0.58431375,0.5019608,0.64705884
173,0.6,0.5137255,0.6745098
174,0.54509807,0.4,0.6156863
175,0.59607846,0.4509804,0.63529414
176,0.6666667,0.45490196,0.6431373
177,0.6,0.49019608,0.65882355
178,0.5176471,0.46666667,0.59607846
179,0.6666667,0.4627451,0.68235296
180,0.6784314,0.54901963,0.6784314
181,0.61960787,0.4627451,0.654902
182,0.4745098,0.39215687,0.6
183,0.627451,0.4862745,0.67058825
184,0.5686275,0.5058824,0.67058825
185,0.57254905,0.5137255,0.65882355
186,0.54509807,0.4627451,0.57254905
187,0.627451,0.50980395,0.63529414
188,0.6745098,0.5921569,0.6901961
189,0.6039216,0.49019608,0.63529414
190,0.5686275,0.4627451,0.6313726
191,0.21568628,0.17254902,0.43529412
192,0.61960787,0.47058824,0.6156863
193,0.5411765,0.46666667,0.62352943
194,0.4509804,0.39215687,0.5372549
195,0.627451,0.49411765,0.64705884
196,0.5372549,0.46666667,0.64705884
197,0.627451,0.48235294,0.6745098
198,0.64705884,0.47843137,0.6862745
199,0.627451,0.47843137,0.62352943
200,0.61960787,0.5019608,0.6745098
201,0.58431375,0.5019608,0.6392157
202,0.5529412,0.40784314,0.62352943
203,0.5921569,0.46666667,0.6313726
204,0.49803922,0.39607844,0.627451
205,0.63529414,0.43137255,0.6627451
206,0.6862745,0.5764706,0.6901961
207,0.61960787,0.4,0.69803923
208,0.5254902,0.40392157,0.58431375
209,0.34509805,0.28627452,0.5686275
210,0.23921569,0.21960784,0.5411765
211,0.6,0.5294118,0.6392157
212,0.6117647,0.46666667,0.6509804
213,0.6117647,0.45490196,0.6509804
214,0.6392157,0.47843137,0.63529414
215,0.6666667,0.52156866,0.6745098
216,0.54509807,0.43529412,0.5411765
217,0.5882353,0.42352942,0.63529414
218,0.63529414,0.49019608,0.6431373
219,0.6039216,0.5019608,0.64705884
220,0.62352943,0.48235294,0.6901961
221,0.61960787,0.53333336,0.68235296
222,0.6745098,0.5411765,0.6862745
223,0.5921569,0.49019608,0.6509804
224,0.29411766,0.25882354,0.5411765
225,0.63529414,0.49803922,0.64705884
226,0.62352943,0.46666667,0.6745098
227,0.5647059,0.3882353,0.6745098
228,0.6627451,0.5137255,0.69411767
229,0.6156863,0.5176471,0.6509804
230,0.5882353,0.45882353,0.64705884
231,0.6627451,0.5176471,0.7019608
232,0.6666667,0.62352943,0.6901961
233,0.59607846,0.47058824,0.6627451
234,0.63529414,0.5254902,0.64705884
235,0.627451,0.5176471,0.654902
